	logFC	logCPM	PValue	FDR
ENSMUSG00000037440	1.635279777	6.300974678	2.92E-19	1.81E-17
ENSMUSG00000026639	1.802254117	2.955080729	3.68E-19	2.28E-17
ENSMUSG00000020429	4.087979057	7.263199391	4.61E-19	2.83E-17
ENSMUSG00000039156	-1.165671344	4.195774643	6.16E-19	3.77E-17
ENSMUSG00000004038	-2.733277856	6.037626044	6.34E-19	3.86E-17
ENSMUSG00000074207	-1.534053295	10.85043218	6.96E-19	4.21E-17
ENSMUSG00000004071	1.319246697	7.085300578	9.01E-19	5.43E-17
ENSMUSG00000006356	1.399180913	5.959265123	9.41E-19	5.65E-17
ENSMUSG00000034917	1.456444877	4.805348687	1.02E-18	6.08E-17
ENSMUSG00000024694	-2.633320943	7.323660854	1.03E-18	6.13E-17
ENSMUSG00000105703	2.615802134	6.629722759	1.18E-18	6.95E-17
ENSMUSG00000067219	2.855423663	2.460975994	1.19E-18	7.02E-17
ENSMUSG00000032788	-1.060720637	6.283706486	1.34E-18	7.84E-17
ENSMUSG00000022742	0.911818251	7.067931729	1.49E-18	8.70E-17
ENSMUSG00000035811	-1.389589924	8.043160406	1.58E-18	9.14E-17
ENSMUSG00000029596	1.644983358	4.751523329	1.94E-18	1.12E-16
ENSMUSG00000026278	1.483820395	3.480205875	2.40E-18	1.38E-16
ENSMUSG00000073155	-1.059148345	5.330510516	2.58E-18	1.47E-16
ENSMUSG00000035064	-1.179709046	3.685396893	2.83E-18	1.61E-16
ENSMUSG00000015143	-1.089787847	4.844428998	2.88E-18	1.63E-16
ENSMUSG00000028822	-1.018344202	5.366637268	3.06E-18	1.72E-16
ENSMUSG00000025950	-0.99654616	8.523629022	3.28E-18	1.84E-16
ENSMUSG00000032086	0.886365195	5.316416913	3.41E-18	1.91E-16
ENSMUSG00000032193	-1.56147221	7.045952212	4.36E-18	2.42E-16
ENSMUSG00000022091	1.401424061	6.064591012	5.05E-18	2.79E-16
ENSMUSG00000017639	1.701317785	3.424484543	5.50E-18	3.03E-16
ENSMUSG00000022041	2.22278619	3.513399715	6.30E-18	3.45E-16
ENSMUSG00000029238	1.232178583	5.481916779	6.96E-18	3.80E-16
ENSMUSG00000056429	1.003730638	8.024962202	7.27E-18	3.95E-16
ENSMUSG00000020614	0.95906291	5.134968415	8.46E-18	4.58E-16
ENSMUSG00000026669	-1.321058486	6.06387858	1.01E-17	5.42E-16
ENSMUSG00000033105	-1.341870079	4.953319399	1.04E-17	5.56E-16
ENSMUSG00000022270	1.392928851	6.321500403	1.33E-17	7.10E-16
ENSMUSG00000078584	1.038635473	6.35403726	1.36E-17	7.22E-16
ENSMUSG00000035914	-1.919390758	2.770143929	1.44E-17	7.62E-16
ENSMUSG00000058672	1.621435036	5.899276714	1.46E-17	7.72E-16
ENSMUSG00000052316	2.625361734	1.167328845	1.62E-17	8.49E-16
ENSMUSG00000025153	-2.653482201	9.020434477	1.81E-17	9.46E-16
ENSMUSG00000032028	-1.626966073	2.994402683	1.87E-17	9.71E-16
ENSMUSG00000034858	1.012531901	6.176259023	1.88E-17	9.75E-16
ENSMUSG00000021273	-1.341240364	5.968796109	1.91E-17	9.83E-16
ENSMUSG00000023832	-1.181041469	5.48405965	3.11E-17	1.60E-15
ENSMUSG00000026566	1.651271882	2.180793412	3.46E-17	1.77E-15
ENSMUSG00000027184	0.985562732	7.483692826	3.48E-17	1.77E-15
ENSMUSG00000022615	1.497875884	5.767990482	3.63E-17	1.84E-15
ENSMUSG00000021591	0.932404439	5.871056727	4.74E-17	2.40E-15
ENSMUSG00000021453	2.645522647	4.59913851	5.06E-17	2.54E-15
ENSMUSG00000041828	-1.753547239	6.446777925	5.08E-17	2.55E-15
ENSMUSG00000048087	1.254450392	4.036912389	6.54E-17	3.26E-15
ENSMUSG00000059447	0.938680372	8.223355382	6.75E-17	3.35E-15
ENSMUSG00000030800	-1.716405759	3.039671331	6.79E-17	3.36E-15
ENSMUSG00000006522	0.962596433	9.726329271	7.03E-17	3.47E-15
ENSMUSG00000050541	-1.23753164	5.445015016	8.08E-17	3.97E-15
ENSMUSG00000087002	1.213140557	3.765653281	1.01E-16	4.92E-15
ENSMUSG00000030545	1.065042407	7.047026553	1.18E-16	5.77E-15
ENSMUSG00000015711	0.948730358	4.816919511	1.22E-16	5.91E-15
ENSMUSG00000024424	-1.122114835	8.213038756	1.28E-16	6.17E-15
ENSMUSG00000023004	-1.220005897	5.39561988	1.31E-16	6.30E-15
ENSMUSG00000039886	1.16049968	6.147920429	1.49E-16	7.16E-15
ENSMUSG00000009566	1.174931989	7.450864662	1.51E-16	7.20E-15
