"logFC.group_allWT.12"	"logFC.group_allWT.16"	"logFC.group_allWT.2"	"logFC.group_allWT.24"	"logFC.group_allWT.4"	"logFC.group_allWT.6"	"logFC.group_allWT.8"	"logCPM"	"LR"	"PValue"	"FDR"
"ENSMUSG00000000876"	1.55280363406619	1.54224014495529	0.412876179314979	0.787473199993224	0.921692472833746	1.15187488516935	1.51206826681376	6.86362769467263	459.642216701915	3.77214797239519e-95	2.15887572756121e-92
"ENSMUSG00000020733"	-1.204295183254	-1.33245809508649	-0.0215617128086934	-0.73148702213762	-0.231946684300498	-0.526676092762492	-0.796265858791547	7.59562746772833	458.648447929496	6.16656296301535e-95	3.39350703364706e-92
"ENSMUSG00000078817"	2.7483742403454	2.6431579400827	0.862221263911345	2.16280262035149	1.97489103059204	2.35155076504635	2.63464710800224	6.66083962290601	456.724674638209	1.59676713241302e-94	8.46168301132056e-92
"ENSMUSG00000031808"	2.33015590038573	2.43593626572257	-0.122148368310056	2.59413421428782	0.289422989261468	0.534474908053923	1.20300122085096	4.82763131997672	456.202859817167	2.06688590676548e-94	1.05617869835716e-91
"ENSMUSG00000008035"	-2.95562091221561	-2.91558725014828	-2.14961901137608	-3.28742932419396	-2.73962807993784	-3.21402094418456	-2.76768053117093	5.05132454919501	455.296304602882	3.2361025099461e-94	1.59662602456237e-91
"ENSMUSG00000072949"	3.48728278174361	2.94255932397797	0.864258660156114	2.40012726588371	2.3261710087649	3.00731985319265	3.49403740548387	7.3778032573009	454.380407508784	5.09014448211e-94	2.427659575001e-91
"ENSMUSG00000034248"	-1.44231026086155	-1.6439443563065	-0.120425582199698	-1.38597598134607	-0.689362498946944	-0.883580917390986	-1.20506845534173	5.21113799790058	444.67668177242	6.17353326099309e-92	2.84938431929965e-89
"ENSMUSG00000032902"	1.51578074673261	1.45026633799087	-0.119499999209323	0.39507740373428	0.44385260111866	1.1332398874693	1.41507140997711	5.4571216607073	442.767087422573	1.58688509070667e-91	7.09535996182222e-89
"ENSMUSG00000035811"	-1.56894974224124	-1.39198963050891	-0.200789274549141	-1.469540321202	-1.07244615569113	-1.44720501356216	-1.9217260579525	7.55450873133425	440.862949438026	4.06785717920398e-91	1.76372425818335e-88
"ENSMUSG00000043671"	-1.99999850521691	-2.49831453718179	-0.0567572103329285	-2.0079714683805	-0.514572458914324	-0.87830162089395	-1.38987729455476	3.13256793332577	438.695465910002	1.18768703094301e-90	4.99806648198016e-88
"ENSMUSG00000022615"	1.48942679741875	1.49232291929491	-0.86863414729425	0.640137761192028	-0.75087671044841	-0.24652709090334	0.549129883644637	5.33441888353366	437.894605387761	1.76454144206205e-90	7.21344541514965e-88
"ENSMUSG00000026839"	-2.05748473844938	-2.68852618438308	0.339674180287624	-0.511972151511647	0.234932628970403	-0.1624479242996	-0.847249242742122	8.91526097353842	436.511503758523	3.49582399719625e-90	1.38939582644122e-87
