"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000048787"	0.904288867680206	4.07702199131974	2.22633702173486e-13	1.68060615928211e-11
"ENSMUSG00000022885"	-0.784565165717386	5.9185951499345	2.3167064203785e-13	1.73796149971003e-11
"ENSMUSG00000030042"	0.84896523422174	4.57077448425479	2.3644037945073e-13	1.76279438457155e-11
"ENSMUSG00000015357"	0.806204730123293	6.28276521250382	2.42534904817381e-13	1.79713900637075e-11
"ENSMUSG00000009569"	0.819103633910058	4.71275833413576	2.4495355996569e-13	1.80399335199122e-11
"ENSMUSG00000026502"	0.876878107170007	4.26520554614088	2.55406507603874e-13	1.86957563566036e-11
"ENSMUSG00000019944"	1.04114373945244	6.66075195380626	3.00068027025946e-13	2.17400562901824e-11
"ENSMUSG00000018604"	-1.01341723593787	4.25613558601972	3.00595247595666e-13	2.17400562901824e-11
"ENSMUSG00000027074"	0.749009833813045	5.21515340356461	3.30787304061202e-13	2.37812443955429e-11
"ENSMUSG00000027947"	1.21016709632821	6.86547181654204	3.76568591692316e-13	2.69123991151467e-11
"ENSMUSG00000028339"	-1.35181980776007	2.43200901896676	3.88542673066535e-13	2.76048141488095e-11
"ENSMUSG00000035914"	-1.49795190871259	2.894011362667	3.98934334611558e-13	2.81773619499321e-11
"ENSMUSG00000029482"	-1.0279943962608	6.63148577785238	4.11290813434679e-13	2.88812235154887e-11
"ENSMUSG00000027890"	-0.89115063099932	6.22344560883687	4.37630643093703e-13	3.05531959958713e-11
"ENSMUSG00000026333"	1.32854331537235	3.17620838230785	5.14786679483843e-13	3.57332960621026e-11
"ENSMUSG00000030852"	1.05087298054729	4.75217198095006	5.21265794874539e-13	3.59762758313982e-11
"ENSMUSG00000053964"	1.09820799163216	2.80196938564354	5.75520531749388e-13	3.94950964913018e-11
"ENSMUSG00000037887"	2.54457580936644	0.555689741066408	6.38579521413999e-13	4.35749348002162e-11
"ENSMUSG00000029440"	0.775233813564868	5.41617673198165	6.47888301531775e-13	4.3961769134274e-11
"ENSMUSG00000047230"	-0.996501920910255	5.64861853184966	6.89877498403826e-13	4.65493878531922e-11
"ENSMUSG00000054855"	1.12318105903772	3.18551974276842	8.35816285261167e-13	5.60832727410243e-11
"ENSMUSG00000024561"	0.741108392839187	6.07855549681911	9.13112291978664e-13	6.09313274172282e-11
"ENSMUSG00000026409"	0.959569473044446	3.77701029660909	9.27130050600873e-13	6.15267953360293e-11
"ENSMUSG00000025340"	0.820913258804996	4.05884922038759	9.46812913643103e-13	6.22112396914046e-11
"ENSMUSG00000006711"	-1.33022599204276	2.4362795784226	9.47745330619179e-13	6.22112396914046e-11
"ENSMUSG00000017950"	0.721514866524492	9.7785674105079	1.01990353853528e-12	6.65859185861032e-11
"ENSMUSG00000018900"	1.36188309587845	5.55315904648982	1.09811407292036e-12	7.10806452109859e-11
"ENSMUSG00000025153"	-2.43617350830941	9.06990942354509	1.10052000782036e-12	7.10806452109859e-11
"ENSMUSG00000026434"	0.72773253054761	6.35594074095232	1.37105796762076e-12	8.80831815581037e-11
