	logFC.group_allob.ob.12	logFC.group_allob.ob.16	logFC.group_allob.ob.2	logFC.group_allob.ob.24	logFC.group_allob.ob.4	logFC.group_allob.ob.6	logFC.group_allob.ob.8	logCPM	LR	PValue	FDR
ENSMUSG00000061167	0.649143131	1.421359858	1.199798822	0.483344641	1.443379674	0.692919307	1.364905398	-0.780262908	13.58481681	0.059078155	0.101421697
ENSMUSG00000001436	0.181627679	0.260870684	0.037915033	0.108188168	0.354071238	0.360168127	0.334977306	3.94207746	13.58451577	0.059084267	0.101421697
ENSMUSG00000061759	-0.01836058	-0.005469448	-0.071763068	-0.11971239	0.027362538	0.068702568	0.233031506	3.863518363	13.58426253	0.059089409	0.101421697
ENSMUSG00000035047	0.226839966	0.414649158	0.155291657	0.330292948	0.176422465	0.124397948	0.120010803	3.126463389	13.58362025	0.059102453	0.101431917
ENSMUSG00000062040	0.171145	0.248900608	-0.148333734	0.234431543	0.109658498	-0.124819182	0.212906627	2.011425668	13.58075311	0.059160711	0.101517974
ENSMUSG00000021032	-1.403382594	0.819998675	0.269666802	0.827939117	-0.048725907	0.162339796	0.564878402	-1.680532806	13.58021077	0.059171737	0.101517974
ENSMUSG00000030677	0.169650669	0.387307124	-0.070036928	-1.203366925	-0.268483168	-0.291692175	0.064377964	-0.661549317	13.58010527	0.059173882	0.101517974
ENSMUSG00000042197	0.255834069	0.278586616	0.16882993	0.053813415	0.262200084	0.206636235	0.236519617	3.378387271	13.57266693	0.059325301	0.101752595
ENSMUSG00000073412	-0.362042679	-0.818270038	-0.548045603	-1.058442323	-0.979188339	-1.127763023	-0.464611173	-0.52444697	13.57218791	0.059335064	0.101752595
ENSMUSG00000040026	0.364444121	0.468919476	0.224980198	0.548497798	0.092868746	-0.036793141	0.270275402	1.277157247	13.57216882	0.059335454	0.101752595
ENSMUSG00000054555	-0.328283271	0.33235805	-0.437842916	-0.646500799	-0.372253733	0.018756205	0.524477798	-0.379597928	13.57197251	0.059339455	0.101752595
ENSMUSG00000069662	-0.193344493	-0.297580784	0.080528582	-0.238583377	-0.295463552	-0.047665529	0.145727804	3.230721335	13.57154988	0.059348071	0.101752595
ENSMUSG00000041852	0.005051216	0.036240165	-0.1728865	-0.094685325	-0.155108367	-0.084983438	-0.15338293	4.834337228	13.5712171	0.059354856	0.101752595
ENSMUSG00000074876	-0.095877297	0.032822147	0.103830863	0.4304087	0.283530369	0.120417644	0.074580678	1.969400477	13.57094415	0.059360422	0.101752595
ENSMUSG00000035212	0.159884029	0.139430805	0.039084718	-0.033407405	-0.159183593	-0.092447622	-0.059875637	3.832098994	13.56859871	0.059408267	0.10182241
ENSMUSG00000046402	-0.319231224	-0.431982435	0.055876822	-0.185536962	-0.220738947	-0.416296893	-0.550617892	1.989139311	13.56695908	0.059441735	0.10186757
ENSMUSG00000031105	-0.102682729	-0.486324983	-0.088917531	-0.172948452	0.114355949	0.199401664	0.358888787	0.45659511	13.56267045	0.059529356	0.102005512
ENSMUSG00000060121	0.099869221	0.277658502	0.016380918	0.386479141	0.163307476	0.216244188	0.242668414	3.095716906	13.55808263	0.059623222	0.10215412
ENSMUSG00000028688	0.083027646	0.350687963	0.116192713	0.103246414	0.290597282	0.054838078	0.169017324	2.759239434	13.55540395	0.05967809	0.102235884
ENSMUSG00000023908	-0.205167802	0.335161647	0.631570398	-0.770833868	0.259721306	0.215082296	-0.023369194	-0.002104104	13.55435872	0.059699512	0.102254803
ENSMUSG00000108825	0.402991802	0.344915707	0.195369917	0.376727674	0.1387085	-0.126314361	-0.212679013	1.190045882	13.55416775	0.059703427	0.102254803
ENSMUSG00000028127	-0.093382171	-0.220233687	0.047163229	-0.022371756	-0.032888272	0.066291159	-0.063698963	9.480362949	13.55125633	0.059763138	0.10234482
ENSMUSG00000041235	-0.161800771	0.063638831	0.082821423	0.136742639	0.170122177	0.185929118	0.04486489	4.387360247	13.54993469	0.059790262	0.102377988
ENSMUSG00000015968	-0.101571803	-0.09492804	0.071618739	-0.047870514	-0.376148852	-0.071581385	0.058671944	2.142778939	13.5496154	0.059796816	0.102377988
ENSMUSG00000028029	0.122030658	0.124564877	0.050614991	0.282055623	0.050761816	0.129894099	0.003432422	4.183917472	13.54918404	0.059805672	0.1023809
ENSMUSG00000006998	-0.123461492	-0.020263134	-0.028819807	-0.136280787	-0.033331612	-0.158098633	-0.161766551	7.590326715	13.54800897	0.059829803	0.102409957
ENSMUSG00000075528	-0.15143649	-0.070134469	-0.085164478	0.080170468	-0.129873801	-0.104512452	-0.166534549	4.181039012	13.54453405	0.059901216	0.102519929
ENSMUSG00000028066	-0.070718259	-0.200733197	0.196504888	-0.117791444	-0.185773913	-0.030246899	-0.196406077	3.633529115	13.54415975	0.059908913	0.102520839
ENSMUSG00000027679	-0.175156085	-0.206284589	-0.037664057	-0.039795969	-0.148546698	0.004645745	-0.180609233	5.147143905	13.54311368	0.059930429	0.102545393
ENSMUSG00000101599	-1.020619543	-0.365343269	-0.269136284	0.024023209	0.119329389	-0.230182	0.175787051	0.239467291	13.53644123	0.060067836	0.102768216
ENSMUSG00000038462	-0.10817009	-0.142129169	0.071893831	-0.05833492	-0.00897669	0.015815244	-0.075299532	7.742233099	13.53459038	0.060106002	0.102821218
ENSMUSG00000026628	0.515551453	0.96177814	-0.235522002	0.400946488	0.344357437	0.386359931	0.302313666	2.310390184	13.53386685	0.060120928	0.102834457
ENSMUSG00000040415	0.325482824	0.307518825	-0.067166333	-0.089333044	-0.21732684	-0.239517991	0.108859404	1.667567775	13.53173173	0.060164993	0.102897528
ENSMUSG00000006418	0.192617964	0.226428563	0.052703108	0.187700036	0.114511001	0.067109308	0.111727066	5.993874892	13.53000445	0.060200663	0.102946228
ENSMUSG00000031825	-0.628171431	-0.779098845	-0.464228576	-0.545453301	-0.808582052	-0.523484222	-0.682544952	0.635237597	13.52569852	0.06028967	0.103086113
ENSMUSG00000003033	0.234392484	0.174842889	0.024296447	0.165815066	0.11407804	0.095783641	0.181526452	4.745401629	13.52035552	0.060400282	0.103262902
ENSMUSG00000025289	-0.009099095	-0.062345067	0.083427039	-0.084168436	-0.150024352	-0.045331475	0.156677455	5.002199828	13.5188849	0.060430759	0.103302665
ENSMUSG00000024269	-0.121791968	-0.017433927	-0.000322768	-0.296926623	0.106096315	-0.188091441	0.155861344	2.720165139	13.51594393	0.060491751	0.103394574
ENSMUSG00000021822	0.264433408	0.667765846	0.143859796	0.365166876	0.125320666	0.433147203	0.367827228	1.406841543	13.51337792	0.060545014	0.103473251
ENSMUSG00000045435	0.125460536	0.141149448	-0.052163642	0.239325292	-0.216192413	-0.145719998	-0.062407667	2.770886374	13.5120591	0.060572405	0.1035077
ENSMUSG00000056174	0.22191405	0.092772734	-0.506486617	-1.62239426	0.069714633	0.189222921	-0.630702895	-1.268939348	13.51052011	0.060604383	0.103549978
ENSMUSG00000062078	0.112502101	-0.026843038	0.083060397	0.019836256	0.057063702	0.244319369	0.144332402	5.94556153	13.51015166	0.060612042	0.103550697
ENSMUSG00000041954	-1.22496118	-0.467807518	-0.954557526	0.149549544	-0.534381842	-0.41681555	-0.315301841	-1.022483678	13.5081263	0.060654155	0.103610273
ENSMUSG00000072692	0.188556557	0.262575181	-0.09417278	0.193263131	0.16711182	0.234169517	-0.375615788	0.924106078	13.50690568	0.060679548	0.103641277
